Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 3, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL', 'short_window_frac': 32}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 1,966,336
  scalars                 : 6
  total                   : 10,354,950
Estimated FLOPs per token: 3.106560e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010937 | lrm: 1.00 | dt: 1208ms | tok/sec: 27,126 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.953341 | lrm: 1.00 | dt: 760ms | tok/sec: 43,101 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.736033 | lrm: 1.00 | dt: 765ms | tok/sec: 42,842 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.436051 | lrm: 1.00 | dt: 775ms | tok/sec: 42,287 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.132675 | lrm: 1.00 | dt: 768ms | tok/sec: 42,682 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.857538 | lrm: 1.00 | dt: 776ms | tok/sec: 42,249 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.628935 | lrm: 1.00 | dt: 752ms | tok/sec: 43,552 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.442322 | lrm: 1.00 | dt: 746ms | tok/sec: 43,947 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.266189 | lrm: 1.00 | dt: 778ms | tok/sec: 42,094 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.118390 | lrm: 1.00 | dt: 773ms | tok/sec: 42,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.996894 | lrm: 1.00 | dt: 762ms | tok/sec: 43,026 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.878456 | lrm: 1.00 | dt: 780ms | tok/sec: 42,032 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.783588 | lrm: 1.00 | dt: 781ms | tok/sec: 41,973 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.691325 | lrm: 1.00 | dt: 785ms | tok/sec: 41,754 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.604988 | lrm: 1.00 | dt: 780ms | tok/sec: 41,995 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 6.529998 | lrm: 1.00 | dt: 755ms | tok/sec: 43,390 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.450977 | lrm: 1.00 | dt: 756ms | tok/sec: 43,368 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 6.384171 | lrm: 1.00 | dt: 773ms | tok/sec: 42,415 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00306 (74.5%) | loss: 4.028251 | lrm: 0.47 | dt: 741ms | tok/sec: 44,230 | mfu: 0.1% | epoch: 1 | remaining: 76s    
step 00307 (74.8%) | loss: 4.030923 | lrm: 0.47 | dt: 734ms | tok/sec: 44,645 | mfu: 0.1% | epoch: 1 | remaining: 75s    
step 00308 (75.0%) | loss: 4.011867 | lrm: 0.46 | dt: 748ms | tok/sec: 43,804 | mfu: 0.1% | epoch: 1 | remaining: 74s    
step 00309 (75.2%) | loss: 4.011300 | lrm: 0.46 | dt: 739ms | tok/sec: 44,326 | mfu: 0.1% | epoch: 1 | remaining: 74s    
step 00310 (75.5%) | loss: 4.004695 | lrm: 0.46 | dt: 734ms | tok/sec: 44,661 | mfu: 0.1% | epoch: 1 | remaining: 73s    
step 00311 (75.7%) | loss: 4.007771 | lrm: 0.45 | dt: 735ms | tok/sec: 44,576 | mfu: 0.1% | epoch: 1 | remaining: 72s    
step 00312 (76.0%) | loss: 3.990129 | lrm: 0.45 | dt: 735ms | tok/sec: 44,554 | mfu: 0.1% | epoch: 1 | remaining: 71s    
step 00313 (76.2%) | loss: 3.985989 | lrm: 0.44 | dt: 738ms | tok/sec: 44,393 | mfu: 0.1% | epoch: 1 | remaining: 71s    
step 00314 (76.5%) | loss: 3.985528 | lrm: 0.44 | dt: 734ms | tok/sec: 44,637 | mfu: 0.1% | epoch: 1 | remaining: 70s    
step 00315 (76.7%) | loss: 3.991201 | lrm: 0.44 | dt: 740ms | tok/sec: 44,297 | mfu: 0.1% | epoch: 1 | remaining: 69s    
step 00316 (77.0%) | loss: 3.985264 | lrm: 0.43 | dt: 746ms | tok/sec: 43,937 | mfu: 0.1% | epoch: 1 | remaining: 68s    
step 00317 (77.2%) | loss: 3.990884 | lrm: 0.43 | dt: 754ms | tok/sec: 43,450 | mfu: 0.1% | epoch: 1 | remaining: 68s    
step 00318 (77.5%) | loss: 3.990676 | lrm: 0.43 | dt: 759ms | tok/sec: 43,197 | mfu: 0.1% | epoch: 1 | remaining: 67s    
step 00319 (77.7%) | loss: 3.995686 | lrm: 0.42 | dt: 775ms | tok/sec: 42,273 | mfu: 0.1% | epoch: 1 | remaining: 66s    
step 00320 (78.0%) | loss: 3.993399 | lrm: 0.42 | dt: 736ms | tok/sec: 44,499 | mfu: 0.1% | epoch: 1 | remaining: 65s    
step 00321 (78.2%) | loss: 3.988339 | lrm: 0.41 | dt: 736ms | tok/sec: 44,525 | mfu: 0.1% | epoch: 1 | remaining: 65s    
step 00322 (78.5%) | loss: 3.994231 | lrm: 0.41 | dt: 739ms | tok/sec: 44,361 | mfu: 0.1% | epoch: 1 | remaining: 64s    
step 00323 (78.7%) | loss: 3.989826 | lrm: 0.41 | dt: 736ms | tok/sec: 44,547 | mfu: 0.1% | epoch: 1 | remaining: 63s    
step 00324 (79.0%) | loss: 3.997576 | lrm: 0.40 | dt: 735ms | tok/sec: 44,609 | mfu: 0.1% | epoch: 1 | remaining: 62s    
step 00325 (79.2%) | loss: 3.997276 | lrm: 0.40 | dt: 739ms | tok/sec: 44,321 | mfu: 0.1% | epoch: 1 | remaining: 62s    
step 00326 (79.5%) | loss: 3.991068 | lrm: 0.40 | dt: 742ms | tok/sec: 44,163 | mfu: 0.1% | epoch: 1 | remaining: 61s    
step 00327 (79.7%) | loss: 3.982960 | lrm: 0.39 | dt: 740ms | tok/sec: 44,259 | mfu: 0.1% | epoch: 1 | remaining: 60s    
step 00328 (79.9%) | loss: 3.989334 | lrm: 0.39 | dt: 731ms | tok/sec: 44,815 | mfu: 0.1% | epoch: 1 | remaining: 59s    
step 00329 (80.2%) | loss: 3.970778 | lrm: 0.38 | dt: 738ms | tok/sec: 44,410 | mfu: 0.1% | epoch: 1 | remaining: 59s    
step 00330 (80.4%) | loss: 3.972175 | lrm: 0.38 | dt: 741ms | tok/sec: 44,244 | mfu: 0.1% | epoch: 1 | remaining: 58s    
step 00331 (80.7%) | loss: 3.967280 | lrm: 0.38 | dt: 743ms | tok/sec: 44,114 | mfu: 0.1% | epoch: 1 | remaining: 57s    
step 00332 (80.9%) | loss: 3.970465 | lrm: 0.37 | dt: 747ms | tok/sec: 43,867 | mfu: 0.1% | epoch: 1 | remaining: 56s    
step 00333 (81.2%) | loss: 3.958466 | lrm: 0.37 | dt: 743ms | tok/sec: 44,118 | mfu: 0.1% | epoch: 1 | remaining: 56s    
step 00334 (81.4%) | loss: 3.964614 | lrm: 0.36 | dt: 736ms | tok/sec: 44,522 | mfu: 0.1% | epoch: 1 | remaining: 55s    
step 00335 (81.7%) | loss: 3.956443 | lrm: 0.36 | dt: 737ms | tok/sec: 44,450 | mfu: 0.1% | epoch: 1 | remaining: 54s    
step 00336 (81.9%) | loss: 3.953928 | lrm: 0.36 | dt: 738ms | tok/sec: 44,384 | mfu: 0.1% | epoch: 1 | remaining: 54s    
step 00337 (82.2%) | loss: 3.953769 | lrm: 0.35 | dt: 738ms | tok/sec: 44,394 | mfu: 0.1% | epoch: 1 | remaining: 53s    
step 00338 (82.4%) | loss: 3.958386 | lrm: 0.35 | dt: 743ms | tok/sec: 44,085 | mfu: 0.1% | epoch: 1 | remaining: 52s    
step 00339 (82.7%) | loss: 3.954045 | lrm: 0.35 | dt: 744ms | tok/sec: 44,036 | mfu: 0.1% | epoch: 1 | remaining: 51s    
step 00340 (82.9%) | loss: 3.973517 | lrm: 0.34 | dt: 734ms | tok/sec: 44,633 | mfu: 0.1% | epoch: 1 | remaining: 51s    
step 00341 (83.2%) | loss: 3.974577 | lrm: 0.34 | dt: 738ms | tok/sec: 44,417 | mfu: 0.1% | epoch: 1 | remaining: 50s    
step 00342 (83.4%) | loss: 3.963424 | lrm: 0.33 | dt: 738ms | tok/sec: 44,396 | mfu: 0.1% | epoch: 1 | remaining: 49s    
step 00343 (83.6%) | loss: 3.974252 | lrm: 0.33 | dt: 747ms | tok/sec: 43,851 | mfu: 0.1% | epoch: 1 | remaining: 48s    
step 00344 (83.9%) | loss: 3.968474 | lrm: 0.33 | dt: 742ms | tok/sec: 44,164 | mfu: 0.1% | epoch: 1 | remaining: 48s    
step 00345 (84.1%) | loss: 3.962962 | lrm: 0.32 | dt: 747ms | tok/sec: 43,877 | mfu: 0.1% | epoch: 1 | remaining: 47s    
step 00346 (84.4%) | loss: 3.950665 | lrm: 0.32 | dt: 738ms | tok/sec: 44,399 | mfu: 0.1% | epoch: 1 | remaining: 46s    
step 00347 (84.6%) | loss: 3.949936 | lrm: 0.32 | dt: 757ms | tok/sec: 43,301 | mfu: 0.1% | epoch: 1 | remaining: 45s    
step 00348 (84.9%) | loss: 3.944780 | lrm: 0.31 | dt: 741ms | tok/sec: 44,248 | mfu: 0.1% | epoch: 1 | remaining: 45s    
step 00349 (85.1%) | loss: 3.938758 | lrm: 0.31 | dt: 740ms | tok/sec: 44,306 | mfu: 0.1% | epoch: 1 | remaining: 44s    
step 00350 (85.4%) | loss: 3.932875 | lrm: 0.30 | dt: 742ms | tok/sec: 44,173 | mfu: 0.1% | epoch: 1 | remaining: 43s    
step 00351 (85.6%) | loss: 3.929493 | lrm: 0.30 | dt: 739ms | tok/sec: 44,355 | mfu: 0.1% | epoch: 1 | remaining: 42s    
step 00352 (85.9%) | loss: 3.934752 | lrm: 0.30 | dt: 744ms | tok/sec: 44,034 | mfu: 0.1% | epoch: 1 | remaining: 42s    
step 00353 (86.1%) | loss: 3.938614 | lrm: 0.29 | dt: 756ms | tok/sec: 43,346 | mfu: 0.1% | epoch: 1 | remaining: 41s    
step 00354 (86.4%) | loss: 3.943024 | lrm: 0.29 | dt: 751ms | tok/sec: 43,605 | mfu: 0.1% | epoch: 1 | remaining: 40s    
step 00355 (86.6%) | loss: 3.934293 | lrm: 0.29 | dt: 755ms | tok/sec: 43,415 | mfu: 0.1% | epoch: 1 | remaining: 39s    
step 00356 (86.9%) | loss: 3.944040 | lrm: 0.28 | dt: 746ms | tok/sec: 43,911 | mfu: 0.1% | epoch: 1 | remaining: 39s    
step 00357 (87.1%) | loss: 3.942333 | lrm: 0.28 | dt: 739ms | tok/sec: 44,343 | mfu: 0.1% | epoch: 1 | remaining: 38s    
step 00358 (87.4%) | loss: 3.936051 | lrm: 0.27 | dt: 736ms | tok/sec: 44,523 | mfu: 0.1% | epoch: 1 | remaining: 37s    
step 00359 (87.6%) | loss: 3.923683 | lrm: 0.27 | dt: 742ms | tok/sec: 44,178 | mfu: 0.1% | epoch: 1 | remaining: 36s    
step 00360 (87.9%) | loss: 3.924724 | lrm: 0.27 | dt: 743ms | tok/sec: 44,114 | mfu: 0.1% | epoch: 1 | remaining: 36s    
step 00361 (88.1%) | loss: 3.917812 | lrm: 0.26 | dt: 737ms | tok/sec: 44,479 | mfu: 0.1% | epoch: 1 | remaining: 35s    
step 00362 (88.4%) | loss: 3.915617 | lrm: 0.26 | dt: 731ms | tok/sec: 44,836 | mfu: 0.1% | epoch: 1 | remaining: 34s    
step 00363 (88.6%) | loss: 3.907761 | lrm: 0.25 | dt: 735ms | tok/sec: 44,558 | mfu: 0.1% | epoch: 1 | remaining: 33s    
step 00364 (88.8%) | loss: 3.924093 | lrm: 0.25 | dt: 738ms | tok/sec: 44,405 | mfu: 0.1% | epoch: 1 | remaining: 33s    
step 00365 (89.1%) | loss: 3.922516 | lrm: 0.25 | dt: 732ms | tok/sec: 44,738 | mfu: 0.1% | epoch: 1 | remaining: 32s    
step 00366 (89.3%) | loss: 3.928651 | lrm: 0.24 | dt: 734ms | tok/sec: 44,656 | mfu: 0.1% | epoch: 1 | remaining: 31s    
step 00367 (89.6%) | loss: 3.932114 | lrm: 0.24 | dt: 742ms | tok/sec: 44,167 | mfu: 0.1% | epoch: 1 | remaining: 31s    
step 00368 (89.8%) | loss: 3.941343 | lrm: 0.24 | dt: 734ms | tok/sec: 44,620 | mfu: 0.1% | epoch: 1 | remaining: 30s    
step 00369 (90.1%) | loss: 3.927619 | lrm: 0.23 | dt: 737ms | tok/sec: 44,454 | mfu: 0.1% | epoch: 1 | remaining: 29s    
step 00370 (90.3%) | loss: 3.927534 | lrm: 0.23 | dt: 751ms | tok/sec: 43,614 | mfu: 0.1% | epoch: 1 | remaining: 28s    
step 00371 (90.6%) | loss: 3.918409 | lrm: 0.22 | dt: 735ms | tok/sec: 44,556 | mfu: 0.1% | epoch: 1 | remaining: 28s    
step 00372 (90.8%) | loss: 3.915001 | lrm: 0.22 | dt: 736ms | tok/sec: 44,542 | mfu: 0.1% | epoch: 1 | remaining: 27s    
step 00373 (91.1%) | loss: 3.912956 | lrm: 0.22 | dt: 740ms | tok/sec: 44,305 | mfu: 0.1% | epoch: 1 | remaining: 26s    
step 00374 (91.3%) | loss: 3.899106 | lrm: 0.21 | dt: 737ms | tok/sec: 44,436 | mfu: 0.1% | epoch: 1 | remaining: 25s    
step 00375 (91.6%) | loss: 3.899687 | lrm: 0.21 | dt: 735ms | tok/sec: 44,568 | mfu: 0.1% | epoch: 1 | remaining: 25s    
step 00376 (91.8%) | loss: 3.902812 | lrm: 0.21 | dt: 745ms | tok/sec: 43,984 | mfu: 0.1% | epoch: 1 | remaining: 24s    
step 00377 (92.0%) | loss: 3.895493 | lrm: 0.20 | dt: 733ms | tok/sec: 44,726 | mfu: 0.1% | epoch: 1 | remaining: 23s    
step 00378 (92.3%) | loss: 3.887846 | lrm: 0.20 | dt: 764ms | tok/sec: 42,880 | mfu: 0.1% | epoch: 1 | remaining: 22s    
step 00379 (92.5%) | loss: 3.887929 | lrm: 0.19 | dt: 754ms | tok/sec: 43,434 | mfu: 0.1% | epoch: 1 | remaining: 22s    
step 00380 (92.8%) | loss: 3.877785 | lrm: 0.19 | dt: 742ms | tok/sec: 44,165 | mfu: 0.1% | epoch: 1 | remaining: 21s    
step 00381 (93.0%) | loss: 3.874353 | lrm: 0.19 | dt: 767ms | tok/sec: 42,724 | mfu: 0.1% | epoch: 1 | remaining: 20s    
step 00382 (93.3%) | loss: 3.867790 | lrm: 0.18 | dt: 745ms | tok/sec: 44,010 | mfu: 0.1% | epoch: 1 | remaining: 19s    
step 00383 (93.5%) | loss: 3.873607 | lrm: 0.18 | dt: 747ms | tok/sec: 43,879 | mfu: 0.1% | epoch: 1 | remaining: 19s    
step 00384 (93.8%) | loss: 3.866689 | lrm: 0.18 | dt: 758ms | tok/sec: 43,209 | mfu: 0.1% | epoch: 1 | remaining: 18s    
step 00385 (94.0%) | loss: 3.869701 | lrm: 0.17 | dt: 758ms | tok/sec: 43,231 | mfu: 0.1% | epoch: 1 | remaining: 17s    
step 00386 (94.3%) | loss: 3.865916 | lrm: 0.17 | dt: 784ms | tok/sec: 41,798 | mfu: 0.1% | epoch: 1 | remaining: 16s    
step 00387 (94.6%) | loss: 3.880389 | lrm: 0.16 | dt: 761ms | tok/sec: 43,060 | mfu: 0.1% | epoch: 1 | remaining: 16s    
step 00388 (94.8%) | loss: 3.875355 | lrm: 0.16 | dt: 746ms | tok/sec: 43,952 | mfu: 0.1% | epoch: 1 | remaining: 15s    
step 00389 (95.1%) | loss: 3.868675 | lrm: 0.16 | dt: 746ms | tok/sec: 43,909 | mfu: 0.1% | epoch: 1 | remaining: 14s    
step 00390 (95.3%) | loss: 3.859324 | lrm: 0.15 | dt: 756ms | tok/sec: 43,315 | mfu: 0.1% | epoch: 1 | remaining: 13s    
step 00391 (95.6%) | loss: 3.857794 | lrm: 0.15 | dt: 766ms | tok/sec: 42,756 | mfu: 0.1% | epoch: 1 | remaining: 13s    
step 00392 (95.8%) | loss: 3.864211 | lrm: 0.14 | dt: 740ms | tok/sec: 44,304 | mfu: 0.1% | epoch: 1 | remaining: 12s    
step 00393 (96.1%) | loss: 3.852967 | lrm: 0.14 | dt: 738ms | tok/sec: 44,382 | mfu: 0.1% | epoch: 1 | remaining: 11s    
step 00394 (96.3%) | loss: 3.836743 | lrm: 0.14 | dt: 739ms | tok/sec: 44,349 | mfu: 0.1% | epoch: 1 | remaining: 10s    
step 00395 (96.6%) | loss: 3.841241 | lrm: 0.13 | dt: 747ms | tok/sec: 43,851 | mfu: 0.1% | epoch: 1 | remaining: 10s    
step 00396 (96.8%) | loss: 3.833250 | lrm: 0.13 | dt: 741ms | tok/sec: 44,216 | mfu: 0.1% | epoch: 1 | remaining: 9s    
step 00397 (97.1%) | loss: 3.842265 | lrm: 0.13 | dt: 738ms | tok/sec: 44,428 | mfu: 0.1% | epoch: 1 | remaining: 8s    
step 00398 (97.3%) | loss: 3.853113 | lrm: 0.12 | dt: 736ms | tok/sec: 44,518 | mfu: 0.1% | epoch: 1 | remaining: 7s    
step 00399 (97.5%) | loss: 3.841458 | lrm: 0.12 | dt: 741ms | tok/sec: 44,247 | mfu: 0.1% | epoch: 1 | remaining: 7s    
step 00400 (97.8%) | loss: 3.859801 | lrm: 0.11 | dt: 740ms | tok/sec: 44,256 | mfu: 0.1% | epoch: 1 | remaining: 6s    
step 00401 (98.0%) | loss: 3.865088 | lrm: 0.11 | dt: 739ms | tok/sec: 44,369 | mfu: 0.1% | epoch: 1 | remaining: 5s    
step 00402 (98.3%) | loss: 3.871022 | lrm: 0.11 | dt: 743ms | tok/sec: 44,089 | mfu: 0.1% | epoch: 1 | remaining: 4s    
step 00403 (98.5%) | loss: 3.866133 | lrm: 0.10 | dt: 738ms | tok/sec: 44,379 | mfu: 0.1% | epoch: 1 | remaining: 4s    
step 00404 (98.8%) | loss: 3.862252 | lrm: 0.10 | dt: 755ms | tok/sec: 43,378 | mfu: 0.1% | epoch: 1 | remaining: 3s    
step 00405 (99.0%) | loss: 3.868163 | lrm: 0.09 | dt: 748ms | tok/sec: 43,831 | mfu: 0.1% | epoch: 1 | remaining: 2s    
step 00406 (99.3%) | loss: 3.868463 | lrm: 0.09 | dt: 744ms | tok/sec: 44,053 | mfu: 0.1% | epoch: 1 | remaining: 1s    
step 00407 (99.5%) | loss: 3.880289 | lrm: 0.09 | dt: 746ms | tok/sec: 43,906 | mfu: 0.1% | epoch: 1 | remaining: 1s    
step 00408 (99.8%) | loss: 3.863204 | lrm: 0.08 | dt: 754ms | tok/sec: 43,440 | mfu: 0.1% | epoch: 1 | remaining: 0s    
